,destination_id_YKR_1,On-site workers_1,index_YKR_1,_merge_1,destination_id_YKR_2,On-site workers_2,index_YKR_2,_merge_2,absolute_change,percentage_change,geometry
82,751845.0,20.52,42353283,both,751845.0,22.0,42353283,both,1.4800000000000004,0.07212475633528267,"POLYGON ((24.676961345664413 60.142053436482534, 24.676803094588745 60.144296357428765, 24.6813011031173 60.144375199076805, 24.681459048468433 60.14213227101834, 24.676961345664413 60.142053436482534))"
83,751846.0,24.4,42398246,both,751846.0,27.0,42398246,both,2.6000000000000014,0.10655737704918039,"POLYGON ((24.681459048468433 60.14213227101834, 24.6813011031173 60.144375199076805, 24.685799136704677 60.14445388807329, 24.685956776325668 60.142210952916365, 24.681459048468433 60.14213227101834))"
84,751847.0,0.93,42400054,both,751847.0,1.0,42400054,both,0.06999999999999995,0.07526881720430102,"POLYGON ((24.685956776325668 60.142210952916365, 24.685799136704677 60.14445388807329, 24.690297195302502 60.14453242441653, 24.69045452918777 60.14228948217488, 24.685956776325668 60.142210952916365))"
85,751848.0,1.41,42400065,both,751848.0,2.0,42400065,both,0.5900000000000001,0.41843971631205684,"POLYGON ((24.69045452918777 60.14228948217488, 24.690297195302502 60.14453242441653, 24.694795278862404 60.14461080810486, 24.69495230700638 60.14236785879223, 24.69045452918777 60.14228948217488))"
86,751849.0,0.53,42400685,both,751849.0,1.0,42400685,both,0.47,0.8867924528301886,"POLYGON ((24.69495230700638 60.14236785879223, 24.694795278862404 60.14461080810486, 24.699293387336013 60.14468903913657, 24.699450109733124 60.14244608276669, 24.69495230700638 60.14236785879223))"
87,751852.0,3.3800000000000003,42403841,both,751852.0,5.0,42403841,both,1.6199999999999997,0.4792899408284022,"POLYGON ((24.70844578971759 60.14260207278032, 24.708289678830848 60.14484504322349, 24.71278786175532 60.14492281627535, 24.71294366687857 60.142679838816115, 24.70844578971759 60.14260207278032))"
88,751858.0,0.97,42345725,both,751858.0,1.0,42345725,both,0.030000000000000027,0.03092783505154642,"POLYGON ((24.735433422436223 60.14306637921836, 24.73527914621302 60.14530939155168, 24.73977747673294 60.14538624859872, 24.739931447159687 60.143143229331834, 24.735433422436223 60.14306637921836))"
89,751859.0,1.13,42305296,both,751859.0,2.0,42305296,both,0.8700000000000001,0.769911504424779,"POLYGON ((24.739931447159687 60.143143229331834, 24.73977747673294 60.14538624859872, 24.744275831682746 60.14546295297252, 24.74442949630758 60.143219926785775, 24.739931447159687 60.143143229331834))"
90,751860.0,4.78,42304980,both,751860.0,7.0,42304980,both,2.2199999999999998,0.4644351464435146,"POLYGON ((24.74442949630758 60.143219926785775, 24.744275831682746 60.14546295297252, 24.74877421101405 60.14553950467142, 24.748927569831526 60.143296471578545, 24.74442949630758 60.143219926785775))"
91,751889.0,3.3200000000000003,42613919,both,751889.0,4.0,42613919,both,0.6799999999999997,0.20481927710843364,"POLYGON ((24.874883328705035 60.1453777387572, 24.874738534660874 60.147620959640946, 24.879237599998344 60.14769308306543, 24.879382088081904 60.14544985567422, 24.874883328705035 60.1453777387572))"
92,751890.0,2.67,42616089,both,751890.0,4.0,42616089,both,1.33,0.4981273408239701,"POLYGON ((24.879382088081904 60.14544985567422, 24.879237599998344 60.14769308306543, 24.883736688264843 60.1477650537671, 24.88388087038268 60.14552181988216, 24.879382088081904 60.14544985567422))"
93,751891.0,29.43,42614736,both,751891.0,37.0,42614736,both,7.57,0.25722052327556916,"POLYGON ((24.88388087038268 60.14552181988216, 24.883736688264843 60.1477650537671, 24.88823579941193 60.14783687174441, 24.888379675558923 60.145593631379505, 24.88388087038268 60.14552181988216))"
